"Ticker","Nome","Negócios","Última (R$)","Variação"
"CVCB3","CVC","80.091.000","2,41","-10,74%"
"PETR4","Petrobras","70.947.300","32,04","+0,79%"
"CSAN3","Cosan","60.416.300","5,13","+2,40%"
"BBAS3","Banco do Brasil","55.093.000","21,37","-0,42%"
"B3SA3","B3","46.183.300","15,24","+0,79%"
"VALE3","Vale","45.910.100","78,88","+0,04%"
"CPLE3","Copel","44.261.000","12,31","-2,30%"
"ITSA4","Itaúsa","41.765.300","12,03","-1,23%"
"RAIZ4","Raízen","33.088.800","0,82","-4,65%"
"ABEV3","Ambev","31.536.400","14,10","+0,43%"
"VAMO3","Grupo Vamos","28.762.900","3,60","-9,09%"
"BBDC4","Banco Bradesco","28.353.400","18,91","+0,05%"
"BRAV3","3R Petroleum","24.211.800","17,10","-5,05%"
"CSNA3","Siderúrgica Nacional","23.261.500","9,51","-4,42%"
"COGN3","Cogna","22.617.300","3,67","+0,55%"
"ENEV3","Eneva","21.119.700","20,60","-1,44%"
"ITUB4","Itaú Unibanco","19.742.500","39,61","-0,83%"
"DIRR3","Direcional","19.221.800","12,73","-5,70%"
"PCAR3","Grupo Pão de Açúcar","18.602.700","3,66","+0,83%"
"MGLU3","Magazine Luiza","17.107.700","8,46","-3,20%"
"ASAI3","Assaí","16.693.500","7,45","+2,19%"
"PRIO3","PetroRio","15.884.800","44,17","+0,89%"
"CMIG4","Cemig","15.225.600","10,77","-0,19%"
"BEEF3","Minerva","14.392.700","5,52","+1,47%"
"CEAB3","C&A","13.897.900","9,51","-4,33%"
"AMBP3","Ambipar","13.164.400","0,28","+0,00%"
"AXIA3","Axia Energia","11.816.100","50,50","-1,73%"
"RENT3","Localiza","11.617.700","40,70","-3,05%"
"SIMH3","Simpar","11.576.200","5,34","-11,00%"
"POMO4","Marcopolo","11.352.700","5,92","+0,51%"
"USIM5","Usiminas","11.243.600","6,42","-2,58%"
"CYRE3","Cyrela","11.174.900","24,70","-1,00%"
"EQTL3","Equatorial Energia","10.849.300","37,44","-0,82%"
"AZEV4","Azevedo & Travassos","10.433.400","0,21","-4,55%"
"SMFT3","Smart Fit","10.420.900","20,73","-0,81%"
"MRVE3","MRV","10.263.700","7,48","-3,86%"
"PETR3","Petrobras","10.025.300","33,98","+0,27%"
"WEGE3","WEG","9.477.300","46,32","-0,26%"
"RAIL3","Rumo","9.407.500","13,60","-0,95%"
"SUZB3","Suzano","9.115.800","51,60","-1,43%"
"LREN3","Lojas Renner","8.977.100","13,33","-1,33%"
"VIVA3","Vivara","8.884.900","26,92","-1,64%"
"MOVI3","Movida","8.807.800","9,63","-9,07%"
"ANIM3","Ânima Educação","8.706.300","4,01","-0,74%"
"NATU3","NATURA","8.589.100","7,63","+1,46%"
"HAPV3","Hapvida","8.085.100","12,99","-1,96%"
"CBAV3","CBA","8.043.900","8,38","-0,24%"
"RDOR3","Rede D'Or","8.040.600","40,25","-0,17%"
"RADL3","RaiaDrogasil","7.950.400","25,10","+1,41%"
"RCSL4","Recrusul","7.507.100","10,69","+20,11%"
"AURE3","Auren Energia","7.072.200","11,54","-1,62%"
"UGPA3","Ultrapar","6.625.300","22,12","-0,63%"
"GGBR4","Gerdau","6.596.300","22,04","-1,08%"
"BRKM5","Braskem","6.586.700","8,22","-5,84%"
"MOTV3","Motiva","6.498.700","15,25","+0,93%"
"BBSE3","BB Seguridade","6.457.500","35,12","+0,60%"
"MULT3","Multiplan","6.456.200","29,10","-1,19%"
"GOAU4","Metalúrgica Gerdau","6.394.800","9,66","-0,72%"
"VBBR3","Vibra Energia","6.298.900","25,63","-1,27%"
"EGIE3","Engie","6.269.400","30,47","-0,33%"
"VIVT3","Vivo","6.133.700","32,47","-0,73%"
"TIMS3","TIM","6.084.300","22,88","-1,17%"
"AUAU3","COBASI COMÉRCIO DE PRODUTOS BÁSICOS E INDUSTRIALIZADOS S.A.","6.003.900","3,17","-6,76%"
"CMIN3","CSN Mineração","5.676.900","5,55","-2,46%"
"BPAC11","Banco BTG Pactual","5.640.500","54,40","-1,23%"
"KLBN11","Klabin","5.294.900","18,61","-0,64%"
"SBSP3","Sabesp","5.185.600","123,66","-0,49%"
"CSMG3","COPASA","5.176.500","45,25","+2,51%"
"SMTO3","São Martinho","5.147.500","16,44","+2,75%"
"PGMN3","Pague Menos","5.094.400","6,36","-1,55%"
"ALOS3","Allos","5.035.600","28,76","-1,71%"
"JHSF3","JHSF","4.724.000","8,43","-0,59%"
"ONCO3","Oncoclínicas","4.667.900","2,16","-8,09%"
"EMBJ3","Embraer","4.634.100","99,30","+0,33%"
"RAPT4","Randon","4.497.300","6,51","-0,61%"
"BBDC3","Banco Bradesco","4.298.300","16,20","+0,56%"
"CURY3","Cury","4.277.400","31,67","+0,38%"
"PLPL3","Plano&Plano","4.146.700","13,73","-5,57%"
"MBRF3","Marfrig","4.073.500","19,61","-0,05%"
"ECOR3","EcoRodovias","4.060.300","10,51","+0,10%"
"RECV3","PetroRecôncavo","4.043.700","10,33","-2,27%"
"GMAT3","Grupo Mateus","3.946.700","4,59","+0,00%"
"GGPS3","GPS","3.582.600","16,30","-2,10%"
"CXSE3","Caixa Seguridade","3.311.300","16,16","+0,37%"
"GUAR3","Guararapes","3.163.900","8,19","-0,36%"
"BHIA3","Casas Bahia","3.120.000","2,83","+1,80%"
"CSED3","Cruzeiro do Sul Educacional","3.097.900","6,11","+4,27%"
"HYPE3","Hypera","3.017.600","23,52","-0,42%"
"AZZA3","Arezzo","2.997.500","23,59","-0,97%"
"ENGI11","Energisa","2.969.000","46,79","-0,11%"
"TEND3","Construtora Tenda","2.918.300","22,85","-3,83%"
"KEPL3","Kepler Weber","2.915.900","9,63","-1,93%"
"YDUQ3","YDUQS","2.838.900","12,11","-2,18%"
"CPFE3","CPFL Energia","2.783.300","51,22","-1,23%"
"FLRY3","Fleury","2.757.400","15,43","-1,91%"
"LWSA3","Locaweb","2.563.900","4,33","-1,81%"
"DASA3","Dasa","2.513.500","3,80","-0,26%"
"IGTI11","Iguatemi","2.473.900","26,79","-0,67%"
"IGTI11","Jereissati Participações","2.473.900","26,79","-0,67%"
"TOTS3","Totvs","2.467.100","43,09","-2,07%"
"PMAM3","Paranapanema","2.426.100","0,72","+5,88%"
"KLBN4","Klabin","2.406.500","3,72","-1,06%"
"SAPR11","Sanepar","2.388.400","43,81","-0,43%"
"GRND3","Grendene","2.336.300","4,55","+0,00%"
"VVEO3","Viveo","2.335.900","1,43","+3,62%"
"AMER3","Americanas","2.331.700","4,75","-1,04%"
"ALUP11","Alupar","2.328.100","32,64","-0,37%"
"SANB11","Banco Santander","2.255.100","33,10","-0,12%"
"INTB3","Intelbras","2.109.400","10,61","-4,59%"
"BPAN4","Banco Pan","2.011.800","11,76","-1,34%"
"EZTC3","EZTEC","1.981.300","14,04","-2,23%"
"VULC3","Vulcabras","1.931.400","18,20","-3,14%"
"POSI3","Positivo","1.905.700","3,98","+0,51%"
"BRAP4","Bradespar","1.864.700","22,19","-0,09%"
"SLCE3","SLC Agrícola","1.803.400","15,22","-1,42%"
"OIBR3","Oi","1.747.800","0,11","+10,00%"
"PSSA3","Porto Seguro","1.714.200","46,00","+0,00%"
"AZTE3","AZT Energia","1.701.000","0,39","-2,50%"
"TAEE11","Taesa","1.676.200","39,50","-0,95%"
"DXCO3","Dexco","1.665.200","5,26","-0,94%"
"NEOE3","Neoenergia","1.662.200","32,03","-0,09%"
"ODPV3","Odontoprev","1.610.100","10,69","+0,00%"
"HBSA3","Hidrovias do Brasil","1.586.800","3,95","+0,25%"
"QUAL3","Qualicorp","1.497.000","2,32","+0,87%"
"SBFG3","Grupo SBF","1.451.600","12,83","-1,69%"
"CAML3","Camil Alimentos","1.438.300","5,96","-0,67%"
"LAVV3","Lavvi Incorporadora","1.420.400","16,25","-3,56%"
"CASH3","Méliuz","1.384.400","4,22","-1,63%"
"BRSR6","Banrisul","1.383.400","16,33","+0,12%"
